# Filter:   Herschel_SPIRE.PLW
# Detector: energy
# Name:     HERSCHEL_SPIRE_PLW
# Points:   158
# Units:    Angstrom
#############################################################################
3608805.49 0.0005162
3621876.13 0.0005944
3635041.80 0.0006789
3646973.01 0.0007889
3660322.11 0.000735
3673769.29 0.0007295
3687315.63 0.0007262
3699593.04 0.0008121
3713330.86 0.0007907
3727171.08 0.0008664
3741114.85 0.0009306
3755163.35 0.001129
3767897.51 0.001562
3782148.26 0.001818
3796507.21 0.002195
3810975.61 0.002536
3825554.71 0.003321
3838771.59 0.004067
3853564.55 0.004979
3868471.95 0.006328
3883495.15 0.007991
3897116.13 0.01003
3912363.07 0.01311
3927729.77 0.01761
3943217.67 0.02317
3958828.19 0.02993
3972983.71 0.03846
3988831.27 0.04982
4004805.77 0.06344
4020908.73 0.08048
4037141.70 0.1037
4051863.86 0.1314
4068348.25 0.1671
4084967.32 0.2188
4101722.72 0.2816
4116920.54 0.3536
4133939.64 0.4127
4151100.04 0.4623
4168403.50 0.5077
4185851.82 0.5229
4201680.67 0.534
4219409.28 0.548
4237288.14 0.5636
4255319.15 0.5738
4271678.77 0.5875
4290004.29 0.5952
4308487.72 0.6074
4327131.11 0.6054
4345936.55 0.6114
4363001.75 0.595
4382120.95 0.5923
4401408.45 0.6009
4420866.49 0.6112
4440497.34 0.6124
4458314.76 0.6052
4478280.34 0.6056
4498425.55 0.5745
4518752.82 0.5651
4537205.08 0.5618
4557885.14 0.5533
4578754.58 0.5487
4599816.01 0.5657
4621072.09 0.5816
4640371.23 0.5839
4662004.66 0.6029
4683840.75 0.5911
4705882.35 0.5818
4728132.39 0.5595
4748338.08 0.5531
4770992.37 0.5292
4793863.85 0.5243
4816955.68 0.5125
4837929.37 0.5263
4861448.71 0.5404
4885197.85 0.549
4909180.17 0.5499
4933399.11 0.5393
4955401.39 0.5372
4980079.68 0.5315
5005005.01 0.5322
5030181.09 0.53
5055611.73 0.5215
5078720.16 0.5088
5104645.23 0.5168
5130836.33 0.5254
5157297.58 0.5113
5181347.15 0.5172
5208333.33 0.5187
5235602.09 0.5011
5263157.89 0.503
5291005.29 0.5173
5316321.11 0.5435
5344735.44 0.5358
5373455.13 0.5411
5402485.14 0.5465
5431830.53 0.5343
5458515.28 0.5327
5488474.20 0.5134
5518763.80 0.5064
5549389.57 0.5168
5577244.84 0.5012
5608524.96 0.5166
5640157.92 0.5538
5672149.74 0.5605
5704506.56 0.5676
5733944.95 0.5628
5767012.69 0.5489
5800464.04 0.534
5834305.72 0.5414
5865102.64 0.5359
5899705.01 0.5586
5934718.10 0.5799
5970149.25 0.563
6006006.01 0.5651
6038647.34 0.5721
6075334.14 0.5685
6112469.44 0.2461
6150061.50 0.1362
6188118.81 0.09056
6222775.36 0.06571
6261740.76 0.05111
6301197.23 0.03955
6341154.09 0.03173
6377551.02 0.02588
6418485.24 0.02147
6459948.32 0.01756
6501950.59 0.01429
6544502.62 0.01196
6583278.47 0.0109
6626905.24 0.009427
6671114.08 0.00805
6715916.72 0.007496
6761325.22 0.006734
6802721.09 0.00594
6849315.07 0.005277
6896551.72 0.004565
6944444.44 0.003878
6988120.20 0.003416
7037297.68 0.00308
7087172.22 0.002898
7137758.74 0.002497
7189072.61 0.002318
7235890.01 0.002009
7288629.74 0.001944
7342143.91 0.001764
7396449.70 0.001586
7451564.83 0.001498
7501875.47 0.001382
7558578.99 0.001166
7616146.23 0.00107
7674597.08 0.001028
7727975.27 0.0009184
7788161.99 0.0007801
7849293.56 0.0007453
7911392.41 0.0006762
7974481.66 0.0006666
8032128.51 0.000607
8097165.99 0.0005691
