# Filter:   Herschel_SPIRE.PLW_ext
# Detector: energy
# Name:     HERSCHEL_SPIRE_PLW_EXT
# Points:   151
# Units:    Angstrom
#############################################################################
3646973 0.00045906091
3660322.1 0.0004297545
3673769.3 0.0004299673
3687315.6 0.0004299104
3699593 0.00048311829
3713330.9 0.00047449907
3727171.1 0.00052252584
3741114.9 0.00056357136
3755163.4 0.0006895932
3767897.5 0.000959068
3782148.3 0.0011209788
3796507.2 0.0013589245
3810975.6 0.0015817032
3825554.7 0.0020812707
3838771.6 0.0025666837
3853564.6 0.0031452343
3868472 0.0040290376
3883495.1 0.005122231
3897116.1 0.006437254
3912363.1 0.008472993
3927729.8 0.011427129
3943217.7 0.015095255
3958828.2 0.019577213
3972983.7 0.025291296
3988831.3 0.032945966
4004805.8 0.042117816
4020908.7 0.053776736
4037141.7 0.06941678
4051863.9 0.08847162
4068348.2 0.11264211
4084967.3 0.14852144
4101722.7 0.19129088
4116920.5 0.24172096
4133939.6 0.28245188
4151100 0.31820109
4168403.5 0.350313
4185851.8 0.36242199
4201680.7 0.37113
4219409.3 0.3823944
4237288.1 0.39406912
4255319.2 0.40269284
4271678.8 0.41459875
4290004.3 0.42098496
4308487.7 0.43082882
4327131.1 0.43092372
4345936.5 0.43543908
4363001.8 0.426377
4382121 0.42479756
4401408.5 0.43348926
4420866.5 0.44091968
4440497.3 0.44288768
4458314.8 0.43949624
4478280.3 0.43978672
4498425.5 0.41863815
4518752.8 0.41303159
4537205.1 0.41140614
4557885.1 0.40662017
4578754.6 0.40362372
4599816 0.41612892
4621072.1 0.42916264
4640371.2 0.43220278
4662004.7 0.44632687
4683840.8 0.43759133
4705882.4 0.43105562
4728132.4 0.41598825
4748338.1 0.4120595
4770992.4 0.394254
4793863.9 0.39123266
4816955.7 0.3830425
4837929.4 0.39335662
4861448.7 0.4047596
4885197.9 0.4115853
4909180.2 0.41226003
4933399.1 0.40431321
4955401.4 0.40273884
4980079.7 0.39846555
5005005 0.39899034
5030181.1 0.397341
5055611.7 0.39096855
5078720.2 0.38139648
5104645.2 0.38739328
5130836.3 0.39383984
5157297.6 0.38327048
5181347.2 0.38769312
5208333.3 0.38881752
5235602.1 0.37562456
5263157.9 0.3770488
5291005.3 0.38657829
5316321.1 0.4061032
5344735.4 0.39906384
5373455.1 0.40301128
5402485.1 0.4070332
5431830.5 0.3969849
5458515.3 0.394198
5488474.2 0.379916
5518763.8 0.374736
5549389.6 0.38160512
5577244.8 0.36893332
5608525 0.37980432
5640157.9 0.40715376
5672149.7 0.4096134
5704506.6 0.41451828
5733945 0.4097184
5767012.7 0.39833673
5800464 0.3872034
5834305.7 0.3911615
5865102.6 0.38633031
5899705 0.40152168
5934718.1 0.41526639
5970149.2 0.4014753
6006006 0.40201214
6038647.3 0.40498959
6075334.1 0.4017021
6112469.4 0.17278681
6150061.5 0.09557154
6188118.8 0.063129376
6222775.4 0.045760444
6261740.8 0.035383453
6301197.2 0.027317185
6341154.1 0.021747742
6377551 0.017670864
6418485.2 0.014603894
6459948.3 0.01187934
6501950.6 0.009604309
6544502.6 0.008000044
6583278.5 0.00724196
6626905.2 0.0062359605
6671114.1 0.005302535
6715916.7 0.0049008848
6761325.2 0.004380467
6802721.1 0.003839616
6849315.1 0.0033925833
6896551.7 0.002910644
6944444.4 0.0024524472
6988120.2 0.002148664
7037297.7 0.001924076
7087172.2 0.0018008172
7137758.7 0.0015396502
7189072.6 0.0014169934
7235890 0.0012186594
7288629.7 0.0011695104
7342143.9 0.0010555776
7396449.7 0.000942084
7451564.8 0.0008842694
7501875.5 0.000807779
7558579 0.0006753472
7616146.2 0.00061525
7674597.1 0.0005856516
7727975.3 0.00051880416
7788162 0.00043662197
7849293.6 0.00041319432
