# Filter:   Herschel_SPIRE.PMW
# Detector: energy
# Name:     HERSCHEL_SPIRE_PMW
# Points:   157
# Units:    Angstrom
#############################################################################
2660281.99 0.0004691
2666666.67 0.0005747
2673796.79 0.0007116
2680965.15 0.0008972
2688172.04 0.001106
2695417.79 0.001371
2701972.44 0.001682
2709292.87 0.001965
2716653.08 0.002262
2724053.39 0.002601
2731494.13 0.00296
2738225.63 0.003374
2745744.10 0.003918
2753303.96 0.004486
2760905.58 0.005063
2767783.01 0.00576
2775464.89 0.006562
2783189.54 0.00731
2790957.30 0.00807
2798768.54 0.008926
2805836.14 0.009984
2813731.01 0.01081
2821670.43 0.01207
2829654.78 0.01363
2837684.45 0.01491
2844950.21 0.0178
2853067.05 0.0231
2861230.33 0.02561
2869440.46 0.03292
2876869.97 0.03966
2885170.23 0.04865
2893518.52 0.05801
2901915.26 0.06892
2910360.88 0.07998
2918004.09 0.09402
2926543.75 0.1148
2935133.55 0.1439
2943773.92 0.1804
2952465.31 0.2238
2960331.56 0.2698
2969121.14 0.3149
2977963.07 0.3466
2986857.83 0.3679
2994908.66 0.3856
3003905.08 0.403
3012955.71 0.4158
3022061.05 0.4241
3031221.58 0.4377
3039513.68 0.4403
3048780.49 0.4365
3058103.98 0.4339
3067484.66 0.4345
3076923.08 0.44
3085467.45 0.4337
3095017.02 0.4497
3104625.89 0.4636
3114294.61 0.4713
3123048.09 0.4734
3132832.08 0.4814
3142677.56 0.4881
3152585.12 0.4808
3162555.34 0.4766
3171582.62 0.4718
3181673.56 0.4597
3191828.92 0.4573
3202049.31 0.4624
3211303.79 0.4874
3221649.48 0.5142
3232062.06 0.5454
3242542.15 0.5546
3253090.44 0.5627
3262642.74 0.5437
3273322.42 0.5379
3284072.25 0.5221
3294892.92 0.5147
3305785.12 0.5211
3315649.87 0.5338
3326679.97 0.5392
3337783.71 0.5552
3348961.82 0.5615
3359086.33 0.5642
3370407.82 0.5644
3381805.88 0.5627
3393281.30 0.5549
3404834.87 0.554
3415300.55 0.5548
3427004.80 0.5586
3438789.55 0.5743
3450655.62 0.5783
3462603.88 0.5678
3473428.27 0.5495
3485535.03 0.547
3497726.48 0.5342
3510003.51 0.5376
3521126.76 0.5605
3533568.90 0.5913
3546099.29 0.622
3558718.86 0.626
3571428.57 0.6317
3582945.18 0.6204
3595828.84 0.5888
3608805.49 0.5731
3621876.13 0.5672
3635041.80 0.5663
3646973.01 0.5776
3660322.11 0.582
3673769.29 0.6009
3687315.63 0.6043
3699593.04 0.6117
3713330.86 0.6194
3727171.08 0.629
3741114.85 0.6207
3755163.35 0.6105
3767897.51 0.6046
3782148.26 0.602
3796507.21 0.6001
3810975.61 0.5976
3825554.71 0.5977
3838771.59 0.6097
3853564.55 0.5965
3868471.95 0.5823
3883495.15 0.567
3897116.13 0.5608
3912363.07 0.5526
3927729.77 0.5541
3943217.67 0.5373
3958828.19 0.5191
3972983.71 0.477
3988831.27 0.4429
4004805.77 0.387
4020908.73 0.3413
4037141.70 0.2907
4051863.86 0.2568
4068348.25 0.2138
4084967.32 0.1859
4101722.72 0.1624
4116920.54 0.1399
4133939.64 0.1155
4151100.04 0.09563
4168403.50 0.04668
4185851.82 0.02183
4201680.67 0.01283
4219409.28 0.008433
4237288.14 0.00596
4255319.15 0.004244
4271678.77 0.003219
4290004.29 0.002542
4308487.72 0.001987
4327131.11 0.00154
4345936.55 0.001244
4363001.75 0.001006
4382120.95 0.0008344
4401408.45 0.0007316
4420866.49 0.0006589
4440497.34 0.0005783
4458314.76 0.0005007
4478280.34 0.0004354
