# Filter:   Herschel_SPIRE.PMW_ext
# Detector: energy
# Name:     HERSCHEL_SPIRE_PMW_EXT
# Points:   152
# Units:    Angstrom
#############################################################################
2673796.8 0.00047413908
2680965.1 0.00060058568
2688172 0.0007403564
2695417.8 0.0009211749
2701972.4 0.0011338362
2709292.9 0.0013246065
2716653.1 0.0015316002
2724053.4 0.0017658189
2731494.1 0.002010432
2738225.6 0.0023020802
2745744.1 0.0026783448
2753304 0.0030702184
2760905.6 0.0034823314
2767783 0.003964608
2775464.9 0.0045258114
2783189.5 0.00506583
2790957.3 0.005593317
2798768.5 0.0062053552
2805836.1 0.0069668352
2813731 0.007543218
2821670.4 0.008438137
2829654.8 0.009551904
2837684.5 0.010475766
2844950.2 0.01256146
2853067.1 0.01633863
2861230.3 0.018119075
2869440.5 0.023350156
2876870 0.028190328
2885170.2 0.0346388
2893518.5 0.04130312
2901915.3 0.049291584
2910360.9 0.057321666
2918004.1 0.06741234
2926543.8 0.08270192
2935133.6 0.10380946
2943773.9 0.13014056
2952465.3 0.16144932
2960331.6 0.19541614
2969121.1 0.22868038
2977963.1 0.25170092
2986857.8 0.26716898
2994908.7 0.28083248
3003905.1 0.2945527
3012955.7 0.30390822
3022061.1 0.31061084
3031221.6 0.32131557
3039513.7 0.32388468
3048780.5 0.3210894
3058104 0.31917684
3067484.7 0.31983545
3076923.1 0.324632
3085467.5 0.32063441
3095017 0.33291291
3104625.9 0.34320308
3114294.6 0.34890339
3123048.1 0.35045802
3132832.1 0.35657298
3142677.6 0.36236544
3152585.1 0.35776328
3162555.3 0.355067
3171582.6 0.351491
3181673.6 0.3424765
3191828.9 0.34119153
3202049.3 0.34559776
3211303.8 0.36428276
3221649.5 0.38431308
3232062.1 0.4079592
3242542.1 0.41578362
3253090.4 0.42185619
3262642.7 0.40761189
3273322.4 0.40326363
3284072.2 0.39141837
3294892.9 0.38587059
3305785.1 0.39066867
3315649.9 0.40018986
3326680 0.40423824
3337783.7 0.41623344
3348961.8 0.42095655
3359086.3 0.42298074
3370407.8 0.42313068
3381805.9 0.42179992
3393281.3 0.41595304
3404834.9 0.4152784
3415300.6 0.41587808
3427004.8 0.41872656
3438789.6 0.43049528
3450655.6 0.43349368
3462603.9 0.42562288
3473428.3 0.4119052
3485535 0.4100312
3497726.5 0.40043632
3510003.5 0.40276992
3521126.8 0.4190298
3533568.9 0.44181936
3546099.3 0.464323
3558718.9 0.4662448
3571428.6 0.47049016
3582945.2 0.46207392
3595828.8 0.43853824
3608805.5 0.42684488
3621876.1 0.42080568
3635041.8 0.419062
3646973 0.427424
3660322.1 0.43068
3673769.3 0.444666
3687315.6 0.44687985
3699593 0.4514346
3713330.9 0.45600228
3727171.1 0.4624408
3741114.9 0.45633864
3755163.4 0.4488396
3767897.5 0.44323226
3782148.3 0.439761
3796507.2 0.43837305
3810975.6 0.43559064
3825554.7 0.43464744
3838771.6 0.44245929
3853564.6 0.43288005
3868472 0.42187635
3883495.1 0.4097709
3897116.1 0.40444896
3912363.1 0.39836934
3927729.8 0.39850872
3943217.7 0.38476053
3958828.2 0.37172751
3972983.7 0.3404826
3988831.3 0.31507906
4004805.8 0.2753118
4020908.7 0.24167453
4037141.7 0.20540862
4051863.9 0.18135216
4068348.2 0.15023726
4084967.3 0.13046462
4101722.7 0.1137612
4116920.5 0.09755227
4133939.6 0.08051505
4151100 0.066472413
4168403.5 0.032316564
4185851.8 0.015112909
4201680.7 0.008848851
4219409.3 0.0057867246
4237288.1 0.004069488
4255319.2 0.0028978032
4271678.8 0.0021914952
4290004.3 0.0017227134
4308487.7 0.0013430133
4327131.1 0.001035958
4345936.5 0.00083348
4363001.8 0.0006724104
4382121 0.00055479256
4401408.5 0.00048475816
4420866.5 0.00043540112
