# Filter:   Herschel_SPIRE.PSW
# Detector: energy
# Name:     HERSCHEL_SPIRE_PSW
# Points:   254
# Units:    Angstrom
#############################################################################
1776830.14 0.000432
1779992.88 0.0006346
1782848.99 0.0006912
1786033.22 0.0007477
1789228.84 0.0005804
1792435.92 0.0002536
1795654.52 -7.033e-05
1798561.15 -7.06e-05
1801801.80 -7.087e-05
1805054.15 0.0001205
1808318.26 0.0005628
1811266.07 0.001005
1814552.71 0.001119
1817851.30 0.001179
1821161.90 0.001144
1824484.58 0.0008658
1827485.38 0.000588
1830831.20 0.0005691
1834189.29 0.0006581
1837559.72 0.0007583
1840942.56 0.0009327
1843997.79 0.001107
1847404.40 0.001298
1850823.62 0.001501
1854255.52 0.001705
1857355.13 0.002002
1860811.31 0.002301
1864280.39 0.002442
1867762.42 0.002349
1871257.49 0.002256
1874414.25 0.002128
1877934.27 0.001991
1881467.54 0.001931
1885014.14 0.002097
1888574.13 0.002262
1891789.63 0.00241
1895375.28 0.002548
1898974.55 0.002667
1902587.52 0.00261
1905850.96 0.002553
1909490.17 0.002445
1913143.29 0.00229
1916810.43 0.002135
1920491.65 0.002351
1923816.85 0.002588
1927525.06 0.002874
1931247.59 0.003244
1934984.52 0.003613
1938360.15 0.003841
1942124.68 0.004033
1945903.87 0.004257
1949697.80 0.004597
1953506.54 0.004936
1956947.16 0.005476
1960784.31 0.006124
1964636.54 0.006754
1968503.94 0.007138
1972386.59 0.007523
1975894.09 0.008016
1979805.98 0.00862
1983733.39 0.009223
1987676.41 0.01022
1991238.55 0.01126
1995211.49 0.01239
1999200.32 0.0137
2003205.13 0.01502
2007226.01 0.0169
2010858.64 0.01895
2014910.34 0.02119
2018978.40 0.0242
2023062.92 0.02722
2027164.00 0.03066
2030869.21 0.03436
2035002.04 0.03815
2039151.71 0.04404
2043318.35 0.04993
2047082.91 0.05668
2051282.05 0.06439
2055498.46 0.07211
2059732.23 0.08292
2063983.49 0.09409
2067824.65 0.1072
2072109.41 0.1243
2076411.96 0.1414
2080732.42 0.1597
2085070.89 0.1785
2088991.02 0.1969
2093364.04 0.2137
2097755.40 0.2306
2102165.23 0.2498
2106149.96 0.2706
2110595.19 0.2915
2115059.22 0.3176
2119542.18 0.3437
2124044.18 0.3666
2128112.36 0.3854
2132650.89 0.4041
2137208.81 0.41
2141786.25 0.4138
2146383.34 0.418
2150537.63 0.4233
2155172.41 0.4285
2159827.21 0.4344
2164502.16 0.4406
2168726.96 0.4465
2173440.56 0.4506
2178174.69 0.4547
2182929.49 0.4568
2187705.10 0.4574
2192021.04 0.4579
2196836.56 0.4654
2201673.27 0.4729
2206531.33 0.4771
2210921.95 0.4763
2215820.96 0.4755
2220741.73 0.4722
2225684.40 0.4684
2230649.12 0.4653
2235136.34 0.4647
2240143.37 0.464
2245172.88 0.4747
2250225.02 0.4908
2255299.95 0.506
2259887.01 0.5143
2265005.66 0.5227
2270147.56 0.5232
2275312.86 0.5169
2279981.76 0.5106
2285191.96 0.5086
2290426.02 0.5069
2295684.11 0.5118
2300966.41 0.5277
2305741.30 0.5436
2311070.03 0.5543
2316423.44 0.5637
2321801.72 0.5716
2327205.03 0.5741
2332089.55 0.5766
2337540.91 0.5774
2343017.81 0.5773
2348520.43 0.5776
2353494.94 0.5824
2359046.95 0.5873
2364625.21 0.5871
2370229.91 0.5818
2375861.25 0.5766
2380952.38 0.5764
2386634.84 0.5767
2392344.50 0.5807
2398081.53 0.5919
2403846.15 0.603
2409058.06 0.6128
2414875.63 0.6222
2420721.37 0.6274
2426595.49 0.6155
2431906.61 0.6036
2437835.20 0.5931
2443792.77 0.5835
2449779.52 0.5747
2455795.68 0.5815
2461235.54 0.5883
2467308.17 0.598
2473410.83 0.6109
2479543.76 0.6238
2485707.18 0.6211
2491280.52 0.6166
2497502.50 0.6108
2503755.63 0.6022
2510040.16 0.5936
2515723.27 0.595
2522068.10 0.5999
2528445.01 0.6047
2534854.25 0.6098
2541296.06 0.6149
2547121.75 0.6176
2553626.15 0.6188
2560163.85 0.6201
2566735.11 0.627
2573340.20 0.6339
2579313.90 0.6409
2585983.97 0.648
2592688.62 0.6551
2599428.13 0.6493
2605523.71 0.6415
2612330.20 0.6327
2619172.34 0.6213
2626050.42 0.6099
2632964.72 0.614
2639218.79 0.6242
2646202.70 0.6358
2653223.67 0.6594
2660281.99 0.6774
2666666.67 0.6825
2673796.79 0.6749
2680965.15 0.6586
2688172.04 0.635
2695417.79 0.6169
2701972.44 0.6106
2709292.87 0.6038
2716653.08 0.6149
2724053.39 0.6257
2731494.13 0.6293
2738225.63 0.636
2745744.10 0.6352
2753303.96 0.6271
2760905.58 0.6131
2767783.01 0.6029
2775464.89 0.5984
2783189.54 0.5974
2790957.30 0.5854
2798768.54 0.5762
2805836.14 0.5644
2813731.01 0.5456
2821670.43 0.5217
2829654.78 0.5058
2837684.45 0.47
2844950.21 0.4646
2853067.05 0.4955
2861230.33 0.4522
2869440.46 0.4563
2876869.97 0.4339
2885170.23 0.4002
2893518.52 0.3548
2901915.26 0.3111
2910360.88 0.2616
2918004.09 0.2198
2926543.75 0.1828
2935133.55 0.1484
2943773.92 0.08516
2952465.31 0.03844
2960331.56 0.02109
2969121.14 0.01266
2977963.07 0.007858
2986857.83 0.00507
2994908.66 0.004125
3003905.08 0.00346
3012955.71 0.003132
3022061.05 0.002967
3031221.58 0.002835
3039513.68 0.002693
3048780.49 0.002553
3058103.98 0.002348
3067484.66 0.002123
3076923.08 0.00191
3085467.45 0.001664
3095017.02 0.001483
3104625.89 0.001318
3114294.61 0.001168
3123048.09 0.001027
3132832.08 0.0008874
3142677.56 0.0007455
3152585.12 0.0006231
3162555.34 0.000518
3171582.62 0.0004272
