# Filter:   Herschel_SPIRE.PSW_ext
# Detector: energy
# Name:     HERSCHEL_SPIRE_PSW_EXT
# Points:   242
# Units:    Angstrom
#############################################################################
1808318.3 0.000322203
1811266.1 0.0005775735
1814552.7 0.000644544
1817851.3 0.0006809904
1821161.9 0.0006636344
1824484.6 0.00050415534
1827485.4 0.0003430392
1830831.2 0.00033303732
1834189.3 0.00038683118
1837559.7 0.00044716951
1840942.6 0.00055113243
1843997.8 0.0006554547
1847404.4 0.0007702332
1850823.6 0.0008941457
1854255.5 0.0010201015
1857355.1 0.0012024012
1860811.3 0.0013877331
1864280.4 0.0014727702
1867762.4 0.0014178564
1871257.5 0.0013673616
1874414.2 0.0012946752
1877934.3 0.001216501
1881467.5 0.0011838961
1885014.1 0.0012883968
1888574.1 0.0013927134
1891789.6 0.001486488
1895375.3 0.0015749188
1898974.6 0.0016519398
1902587.5 0.001622637
1905851 0.001593072
1909490.2 0.0015293475
1913143.3 0.001435372
1916810.4 0.0013435555
1920491.7 0.0014846565
1923816.9 0.001634322
1927525.1 0.0018166554
1931247.6 0.0020589668
1934984.5 0.0023022036
1938360.2 0.0024563195
1942124.7 0.002585153
1945903.9 0.002728737
1949697.8 0.0029540322
1953506.5 0.0031842136
1956947.2 0.0035407816
1960784.3 0.0039677396
1964636.5 0.0043846968
1968503.9 0.004643269
1972386.6 0.0049027391
1975894.1 0.0052336464
1979806 0.005639204
1983733.4 0.0060484434
1987676.4 0.006727826
1991238.6 0.007434978
1995211.5 0.008197224
1999200.3 0.00908173
2003205.1 0.009976284
2007226 0.01125878
2010858.6 0.012668075
2014910.3 0.014184586
2018978.4 0.01619948
2023062.9 0.01827823
2027164 0.020667906
2030869.2 0.023162076
2035002 0.025724545
2039151.7 0.029806272
2043318.4 0.033897477
2047082.9 0.038480052
2051282.1 0.043759444
2055498.5 0.049193442
2059732.2 0.056684112
2063983.5 0.064319924
2067824.7 0.07342128
2072109.4 0.08545625
2076412 0.09732562
2080732.4 0.10992151
2085070.9 0.12325425
2088991 0.13641232
2093364 0.14811547
2097755.4 0.15985192
2102165.2 0.17381084
2106150 0.18882468
2110595.2 0.2034087
2115059.2 0.22174832
2119542.2 0.24041815
2124044.2 0.25691328
2128112.4 0.27051226
2132650.9 0.28444599
2137208.8 0.289624
2141786.2 0.29268074
2146383.3 0.2956514
2150537.6 0.29978106
2155172.4 0.30402075
2159827.2 0.30877152
2164502.2 0.3137072
2168727 0.317908
2173440.6 0.32100744
2178174.7 0.32506503
2182929.5 0.32738856
2187705.1 0.32781858
2192021 0.32863483
2196836.6 0.33522762
2201673.3 0.34115006
2206531.3 0.34417994
2210922 0.34360282
2215821 0.3430257
2220741.7 0.34158948
2225684.4 0.3400584
2230649.1 0.33790086
2235136.3 0.33746514
2240143.4 0.3369568
2245172.9 0.34496449
2250225 0.35789136
2255300 0.3698354
2259887 0.37590187
2265005.7 0.38230278
2270147.6 0.38334864
2275312.9 0.3794046
2279981.8 0.37534206
2285192 0.37412616
2290426 0.37287564
2295684.1 0.37648008
2300966.4 0.38817612
2305741.3 0.40047012
2311070 0.4090734
2316423.4 0.41674341
2321801.7 0.42315548
2327205 0.42500623
2332089.6 0.42685698
2337540.9 0.42744922
2343017.8 0.42737519
2348520.4 0.42759728
2353494.9 0.4315584
2359047 0.43595279
2364625.2 0.43656756
2370229.9 0.43338282
2375861.2 0.429567
2380952.4 0.429418
2386634.8 0.4296415
2392344.5 0.43273764
2398081.5 0.44185335
2403846.1 0.4506822
2409058.1 0.45800672
2414875.6 0.46503228
2420721.4 0.46891876
2426595.5 0.46045555
2431906.6 0.45221712
2437835.2 0.44464707
2443792.8 0.43744995
2449779.5 0.43085259
2455795.7 0.43595055
2461235.5 0.44104851
2467308.2 0.4483206
2473410.8 0.45799173
2479543.8 0.46766286
2485707.2 0.46563867
2491280.5 0.46226502
2497502.5 0.45791676
2503755.6 0.45146934
2510040.2 0.44502192
2515723.3 0.4460715
2522068.1 0.44974503
2528445 0.45334359
2534854.2 0.45716706
2541296.1 0.46092904
2547121.8 0.46295296
2553626.1 0.46385248
