# Filter:   PLANCK_HFI.353GHz
# Detector: energy
# Name:     PLANCK_HFI_353GHZ
# Points:   654
# Units:    Angstrom
#############################################################################
6451612.90 0.000641817
6472491.91 0.0007564
6493506.49 0.0010774
6514657.98 0.00175869
6535947.71 0.00229834
6557377.05 0.00245068
6578947.37 0.00259012
6600660.07 0.00314212
6622516.56 0.00398399
6644518.27 0.00463322
6666666.67 0.00523121
6688963.21 0.0062174
6711409.40 0.00746784
6734006.73 0.00862912
6756756.76 0.00983873
6779661.02 0.0115481
6802721.09 0.0138706
6825938.57 0.0163972
6832238.68 0.0171134
6840118.86 0.0173993
6848017.70 0.0182677
6855934.33 0.0206165
6863869.76 0.0225796
6871823.11 0.0248382
6879794.92 0.0265353
6887785.24 0.0271891
6895794.14 0.0283265
6903822.16 0.0327534
6911868.42 0.0365126
6919933.94 0.038635
6928017.83 0.0416584
6936120.62 0.0438737
6944242.87 0.0464467
6952383.68 0.0526612
6960543.84 0.0589704
6968722.70 0.0639472
6976921.04 0.069394
6985139.19 0.0751144
6993376.22 0.0767634
7001633.20 0.0801227
7009909.21 0.0878059
7018205.29 0.100177
7026520.55 0.110111
7034855.53 0.112578
7043210.31 0.107388
7051584.95 0.100963
7059980.04 0.104418
7068394.63 0.119134
7076829.82 0.131033
7085284.65 0.136614
7093759.71 0.136832
7102255.58 0.139385
7110771.31 0.147946
7119308.00 0.163603
7127864.19 0.180827
7136441.48 0.197123
7145039.95 0.201051
7153658.66 0.198186
7162298.69 0.19923
7170959.11 0.215148
7179641.01 0.247541
7188343.44 0.277267
7197066.99 0.284119
7205812.01 0.271144
7214577.78 0.246783
7223365.68 0.246262
7232174.50 0.274702
7241005.35 0.294799
7249857.27 0.290818
7258730.86 0.277377
7267626.72 0.260271
7276543.89 0.247575
7285483.49 0.268633
7294444.03 0.312099
7303427.70 0.340809
7312432.99 0.339183
7321460.51 0.335783
7330510.89 0.355645
7339583.14 0.396102
7348678.40 0.443373
7357795.70 0.493432
7366935.65 0.513167
7376098.87 0.509239
7385283.83 0.520849
7394492.79 0.547587
7403724.19 0.575727
7412979.22 0.614366
7422256.87 0.639066
7431557.77 0.658749
7440882.56 0.639403
7450230.23 0.600987
7459601.97 0.606167
7468996.48 0.657989
7478415.24 0.70174
7487857.50 0.714284
7497323.64 0.698276
7506814.31 0.691205
7516328.47 0.694003
7525867.35 0.69784
7535429.90 0.698904
7545016.78 0.705146
7554628.65 0.726382
7564263.91 0.753427
7573924.92 0.743556
7583610.06 0.721266
7593320.58 0.724526
7603055.42 0.745116
7612815.26 0.793655
7622600.77 0.817752
7632410.88 0.79983
7642246.86 0.767908
7652107.35 0.770114
7661993.31 0.7779
7671905.73 0.763233
7681843.25 0.75448
7691807.13 0.753149
7701796.31 0.729622
7711812.05 0.693618
7721853.28 0.648684
7731920.70 0.648189
7742015.00 0.682981
7752134.79 0.712762
7762281.68 0.715643
7772454.86 0.693842
7782655.34 0.642171
7792882.03 0.614958
7803135.63 0.646469
7813416.86 0.696503
7823724.60 0.72007
7834060.19 0.707119
7844422.51 0.656452
7854811.66 0.621001
7865229.61 0.643153
7875674.60 0.70123
7886148.00 0.731284
7896648.66 0.71739
7907177.95 0.6525
7917734.74 0.559272
7928319.74 0.532789
7938933.72 0.578379
7949575.21 0.631483
7960245.90 0.61845
7970944.95 0.569652
7981673.44 0.554338
7992430.21 0.579593
8003216.01 0.629333
8014031.61 0.667324
8024875.83 0.693717
8035750.09 0.692732
8046653.21 0.694693
8057585.63 0.686433
8068548.45 0.665003
8079540.82 0.684442
8090563.83 0.730167
8101616.30 0.734065
8112699.68 0.716782
8123812.76 0.699614
8134956.32 0.681686
8146131.17 0.704129
8157336.09 0.787029
8168571.88 0.83184
8179838.66 0.775275
8191136.57 0.706443
8202466.40 0.698057
8213826.94 0.786103
8225219.68 0.879829
8236643.38 0.914097
8248099.53 0.885148
8259586.92 0.834793
8271106.01 0.862349
8282657.96 0.930155
8294241.88 0.953246
8305858.94 0.942993
8317507.89 0.907745
8329190.26 0.872974
8340904.79 0.873872
8352652.32 0.870728
8364433.69 0.872651
8376247.64 0.91444
8388095.01 0.958217
8399975.94 0.950097
8411890.58 0.930635
8423839.77 0.939743
8435822.25 0.942266
8447839.57 0.928286
8459890.47 0.934265
8471976.52 0.922504
8484096.43 0.920688
8496251.07 0.909653
8508440.59 0.900271
8520665.13 0.929473
8532925.57 0.97759
8545220.62 1
8557551.16 0.992335
8569918.06 0.922006
8582320.03 0.874273
8594758.68 0.875196
8607232.69 0.913035
8619742.97 0.956983
8632289.67 0.977646
8644873.69 0.94477
8657493.71 0.91528
8658340.00 0.914863
8659593.63 0.914677
8660847.62 0.914695
8662101.97 0.914828
8663355.94 0.914995
8664610.27 0.91513
8665865.71 0.915185
8667121.52 0.915133
8668377.69 0.914969
8669633.85 0.914714
8670150.62 0.914582
8670890.37 0.914405
8672147.64 0.914098
8673405.27 0.913861
8674662.51 0.913771
8675920.49 0.913905
8677178.84 0.914336
8678437.93 0.915127
8679697.38 0.916329
8680957.20 0.917975
8682216.63 0.920077
8682845.35 0.921291
8683476.43 0.922625
8684737.35 0.92559
8685998.63 0.928922
8687260.28 0.932552
8688521.54 0.936395
8689783.93 0.940356
8691046.67 0.944333
8692309.79 0.948217
8693572.52 0.951901
8694835.62 0.955283
8695576.56 0.957091
8696099.83 0.958263
8697364.42 0.960757
8698629.37 0.962685
8699894.70 0.963987
8701159.63 0.964613
8702424.93 0.964528
8703691.36 0.963712
8704958.15 0.962162
8706225.32 0.959885
8707492.09 0.956906
8708345.91 0.954519
8708759.99 0.953257
8710028.26 0.948988
8711296.91 0.944155
8712565.92 0.938824
8713833.78 0.933069
8715103.53 0.92697
8716373.65 0.920612
8717644.14 0.914081
8718915.00 0.907462
8720185.47 0.900843
8721152.06 0.895862
8721457.07 0.894303
8722728.28 0.887921
8724000.62 0.881764
8725273.34 0.875897
8726545.66 0.870373
8727819.12 0.865235
8729092.95 0.860522
8730367.15 0.856261
8731641.34 0.852474
8732915.14 0.849175
8733995.94 0.846768
8734190.46 0.846377
8735466.15 0.844086
8736742.21 0.842309
8738018.27 0.841051
8739294.69 0.840318
8740571.87 0.840114
8741849.43 0.840446
8743126.59 0.841315
8744404.89 0.842725
8745682.80 0.844672
8746877.69 0.846966
8746961.85 0.847145
8748241.28 0.850126
8749521.07 0.853588
8750800.86 0.857487
8752081.03 0.861769
8753361.18 0.866363
8754642.48 0.871186
8755924.15 0.876139
8757205.81 0.881113
8758487.85 0.885989
8759770.65 0.890645
8759797.51 0.890741
8761053.82 0.894956
8762337.37 0.898799
8763620.14 0.90206
8764904.06 0.904638
8766188.74 0.906448
8767473.79 0.907423
8768759.23 0.907521
8770044.27 0.906723
8771330.45 0.905038
8772616.24 0.902497
8772756.31 0.902173
8773903.18 0.899157
8775190.50 0.895094
8776477.43 0.890403
8777765.50 0.885195
8779053.95 0.879589
8780342.78 0.873709
8781631.99 0.86768
8782920.03 0.861625
8784210.00 0.855656
8785500.34 0.849877
8785752.74 0.848773
8786791.06 0.844377
8788082.17 0.839229
8789372.87 0.834489
8790664.74 0.830198
8791956.20 0.826378
8793248.82 0.823034
8794541.83 0.820159
8795834.43 0.817732
8797128.20 0.815721
8798422.34 0.814086
8798788.51 0.813689
8799716.86 0.812782
8801011.76 0.811757
8802306.27 0.810962
8803601.17 0.810344
8804897.21 0.809853
