# Filter:   PLANCK_LFI.030GHz
# Detector: energy
# Name:     PLANCK_LFI_030GHZ
# Points:   125
# Units:    Angstrom
#############################################################################
84927041.93 0.000303298
85168311.93 0.000621635
85410956.70 0.000381704
85654988.00 0.00109773
85900417.77 0.00276569
86147258.05 0.00181147
86395521.04 0.0033762
86645219.08 0.00640631
86896364.64 0.00452553
87148970.35 0.00924075
87403048.98 0.0130389
87658613.45 0.008416
87915676.83 0.0202167
88174252.35 0.0166968
88434353.39 0.0132247
88695993.49 0.0319883
88959186.35 0.0207731
89223945.83 0.0229355
89490285.97 0.0493006
89758220.96 0.0252792
90027765.17 0.0414586
90298933.13 0.0395542
90571739.58 0.0285273
90846199.39 0.0555138
91122327.66 0.0306651
91400139.63 0.0340454
91679650.76 0.0448093
91960876.69 0.0273198
92243833.23 0.0562379
92528536.42 0.0331791
92815002.48 0.0417891
93103247.83 0.0569257
93393289.10 0.0415206
93685143.12 0.075485
93978826.96 0.0448857
94274357.86 0.0731157
94571753.31 0.0671094
94871031.01 0.0638128
95172208.89 0.0969553
95475305.10 0.068483
95780338.02 0.116701
96087326.28 0.0892765
96396288.75 0.147499
96707244.52 0.110044
97020212.94 0.127204
97335213.64 0.120671
97652266.45 0.119522
97971391.50 0.113392
98292609.18 0.0994558
98615940.13 0.117984
98941405.28 0.0896848
99269025.83 0.114532
99598823.26 0.0920639
99930819.33 0.107645
100265036.12 0.0890332
100601495.97 0.103204
100940221.55 0.0835619
101281235.81 0.0956271
101624562.03 0.0663691
101970223.81 0.0683578
102318245.05 0.058774
102668650.00 0.0529253
103021463.23 0.0561844
103376709.66 0.0427604
103734414.53 0.0636998
104094603.47 0.0529504
104457302.44 0.0822093
104822537.76 0.0741487
105190336.14 0.101022
105560724.65 0.125023
105933730.74 0.121555
106309382.27 0.197671
106687707.47 0.176478
107068735.00 0.210148
107452493.91 0.255359
107839013.67 0.237597
108228324.19 0.328752
108620455.80 0.321124
109015439.27 0.276083
109413305.84 0.360529
109814087.18 0.315621
110217815.44 0.237644
110624523.25 0.264215
111034243.70 0.226624
111447010.41 0.143579
111862857.46 0.138954
112281819.48 0.131713
112703931.58 0.100444
113129229.43 0.0937825
113557749.24 0.101724
113989527.76 0.095829
114424602.29 0.108498
114863010.73 0.110452
115304791.54 0.0997016
115749983.78 0.0993042
116198627.13 0.115377
116650761.87 0.109531
117106428.91 0.0827794
117565669.80 0.0754513
118028526.77 0.0730747
118495042.69 0.0710446
118965261.11 0.0663503
119439226.29 0.0835787
119916983.20 0.0902095
120398577.51 0.0819367
120884055.65 0.065392
121373464.78 0.0533804
121866852.85 0.0363982
122364268.57 0.0281578
122865761.48 0.0319255
123371381.89 0.0340698
123881180.99 0.0287585
124395210.79 0.0273393
124913524.17 0.0105124
125436174.90 0.010038
125963217.65 0.00586855
126494708.02 0.00253836
127030702.54 0.00171153
127571258.72 0.00161819
128116435.04 0.000707701
128666290.99 0.000521945
129220887.07 0.000546504
129780284.85 0.000363867
130344546.96 0.000324956
130913737.12 0.00026641
