# Filter:   PLANCK_HFI.070GHz
# Detector: energy
# Name:     PLANCK_HFI_070GHZ
# Points:   251
# Units:    Angstrom
#############################################################################
36338479.76 0.00680299
36382579.85 0.00584719
36426787.12 0.00476939
36471101.95 0.0047643
36515524.73 0.00365904
36560055.85 0.00462344
36604695.73 0.0144326
36649444.74 0.00551842
36694303.30 0.00375742
36739271.81 0.00682421
36784350.67 0.00881311
36829540.29 0.017339
36874841.08 0.0127013
36920253.45 0.00805474
36965777.81 0.00943095
37011414.57 0.0096915
37057164.15 0.0086256
37103026.98 0.0149908
37149003.47 0.0187055
37195094.04 0.0117841
37241299.13 0.0129091
37287619.15 0.0202718
37334054.55 0.0251387
37380605.74 0.0234322
37427273.16 0.0289534
37474057.25 0.0324308
37520958.45 0.0240488
37567977.19 0.0247683
37615113.93 0.0359478
37662369.10 0.0351616
37709743.14 0.029489
37757236.52 0.0431295
37804849.68 0.0526657
37852583.08 0.0343514
37900437.17 0.0327249
37948412.41 0.0403297
37996509.25 0.0369367
38044728.17 0.0343096
38093069.63 0.0374322
38141534.10 0.0355969
38190122.04 0.0299056
38238833.93 0.0289397
38287670.24 0.033842
38336631.46 0.0280484
38385718.05 0.0258782
38434930.51 0.0323001
38484269.32 0.0327025
38533734.96 0.0276681
38583327.93 0.0270221
38633048.71 0.0312173
38682897.81 0.0312695
38732875.71 0.0276014
38782982.92 0.031588
38833219.95 0.0401532
38883587.29 0.0371037
38934085.45 0.0323498
38984714.95 0.0376888
39035476.30 0.0446447
39086370.01 0.0367901
39137396.61 0.0326488
39188556.60 0.0415088
39239850.52 0.0528667
39291278.90 0.0425351
39342842.26 0.0399084
39394541.13 0.0521031
39446376.05 0.0584493
39498347.56 0.0487373
39550456.20 0.0482399
39602702.51 0.058653
39655087.04 0.0617389
39707610.33 0.0512109
39760272.94 0.0475766
39813075.43 0.0550309
39866018.35 0.0666371
39919102.26 0.0595478
39972327.73 0.0489718
40025695.33 0.052686
40079205.61 0.0656022
40132859.17 0.0674137
40186656.57 0.0605019
40240598.39 0.0617451
40294685.22 0.0721686
40348917.63 0.0770162
40403296.23 0.0688271
40457821.59 0.0625326
40512494.32 0.0660697
40567315.02 0.0793852
40622284.28 0.0812673
40677402.71 0.0692411
40732670.92 0.0650908
40788089.52 0.0757297
40843659.13 0.0838084
40899380.35 0.0746136
40955253.83 0.0641065
41011280.16 0.0654734
41067460.00 0.0756411
41123793.96 0.0783943
41180282.69 0.0748441
41236926.82 0.0653336
41293727.00 0.0603708
41350683.86 0.0656336
41407798.07 0.0768851
41465070.26 0.0789002
41522501.11 0.0726469
41580091.26 0.0695393
41637841.39 0.0717166
41695752.16 0.0803335
41753824.23 0.0861392
41812058.30 0.0792869
41870455.03 0.0688392
41929015.10 0.0641981
41987739.22 0.0695453
42046628.05 0.0771977
42105682.30 0.0815185
42164902.67 0.0820999
42224289.86 0.077063
42283844.57 0.064828
42343567.51 0.0579726
42403459.41 0.0630353
42463520.96 0.0696708
42523752.91 0.067074
42584155.97 0.0644651
42644730.87 0.0593414
42705478.35 0.0525171
42766399.14 0.0483668
42827494.00 0.0483214
42888763.66 0.0493466
42950208.88 0.050465
43011830.42 0.0505245
43073629.02 0.0472444
43135605.47 0.041783
43197760.52 0.0376665
43260094.95 0.0362865
43322609.54 0.0374772
43385305.07 0.0395309
43448182.32 0.0410604
43511242.09 0.0408544
43574485.17 0.0392754
43637912.37 0.037505
43701524.49 0.0348467
43765322.34 0.0325536
43829306.73 0.0340007
43893478.48 0.0345693
43957838.42 0.0357406
44022387.37 0.037994
44087126.18 0.0389281
44152055.67 0.0424759
44217176.70 0.0439347
44282490.10 0.0436948
44347996.75 0.0442917
44413697.48 0.0420334
44479593.18 0.0380481
44545684.70 0.0360904
44611972.92 0.0368526
44678458.72 0.0382816
44745142.99 0.0379517
44812026.61 0.0360133
44879110.48 0.03587
44946395.50 0.0363745
45013882.58 0.0371452
45081572.63 0.0382187
45149466.57 0.0382936
45217565.31 0.0395785
45285869.79 0.0428818
45354380.94 0.0462321
45423099.70 0.0480936
45492027.01 0.0475337
45561163.83 0.0466487
45630511.11 0.047767
45700069.82 0.0490869
45769840.92 0.0496387
45839825.38 0.0493981
45910024.20 0.0488346
45980438.34 0.0504277
46051068.82 0.0521958
46121916.62 0.0518979
46192982.74 0.0506729
46264268.21 0.0494587
46335774.03 0.052565
46407501.24 0.0546758
46479450.85 0.0531082
46551623.91 0.0513113
46624021.46 0.0501446
46696644.55 0.0502693
46769494.23 0.0481725
46842571.56 0.0453085
46915877.62 0.0480387
46989413.48 0.0515002
47063180.22 0.0535427
47137178.93 0.0551849
47211410.71 0.0569569
47285876.66 0.0576147
47360577.88 0.0551089
47435515.51 0.0534315
47510690.65 0.0533027
47586104.44 0.0527414
47661758.03 0.0529808
47737652.55 0.0553383
47813789.15 0.0613012
47890169.01 0.0656419
47966793.28 0.0678029
48043663.14 0.0655702
48120779.78 0.0596944
48198144.37 0.0499562
48275758.13 0.0430865
48353622.26 0.0382349
48431737.96 0.0321036
48510106.47 0.0267591
48588729.01 0.0217467
48667606.82 0.0151864
48746741.14 0.0110569
48826133.22 0.00881625
48905784.34 0.0072759
48985695.75 0.006073
49065868.74 0.00539536
49146304.59 0.00481358
49227004.60 0.00461962
49307970.07 0.00494557
49389202.31 0.00479493
49470702.64 0.0042933
49552472.40 0.00443802
49634512.91 0.00491872
49716825.54 0.00550492
49799411.63 0.00593306
49882272.55 0.00650684
49965409.67 0.00848415
50048824.37 0.00982939
50132518.06 0.00949608
50216492.13 0.0115353
50300747.99 0.0125623
50385287.06 0.0115838
50470110.77 0.013023
50555220.57 0.0138904
50640617.91 0.0124276
50726304.23 0.0112289
50812281.02 0.0123758
50898549.75 0.0119856
50985111.90 0.014461
51071968.99 0.018283
51159122.53 0.0165631
51246574.02 0.0198135
51334325.00 0.0204734
51422377.02 0.0192375
51510731.62 0.0181604
51599390.36 0.0167377
51688354.83 0.0177215
51777626.60 0.014785
51867207.27 0.0133061
51957098.44 0.0111518
52047301.74 0.00964237
52137818.78 0.00813234
