# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 27
# Name = "Johnson I"
# Description = ""
# UCD = "PHOT_JHN_I"
# Version = "1.0"
# DateCreated = 7/23/2003 11:17:16 AM
# DateModified = 7/23/2003 3:57:26 PM
# WavelengthMin = 7000
# WavelengthMax = 11600
# WavelengthEff = 8780.91536969769
# WavelengthScale = Linear
# EffectiveWidth = 2316.0000000149
# Unit = 
# Wavelength Value
6800 0
7000 0.00999999977648258
7200 0.170000001788139
7400 0.360000014305115
7600 0.560000002384186
7800 0.759999990463257
8000 0.959999978542328
8200 0.980000019073486
8400 0.990000009536743
8600 1
8800 0.980000019073486
9000 0.930000007152557
9200 0.839999973773956
9400 0.709999978542328
9600 0.579999983310699
9800 0.469999998807907
10000 0.360000014305115
10200 0.280000001192093
10400 0.200000002980232
10600 0.150000005960464
10800 0.100000001490116
11000 0.0799999982118607
11200 0.0500000007450581
11400 0.0299999993294477
11600 0.0199999995529652
12000 0
